,Length,Speed,Frequency,Head Amplitde,Mid Amplitude,Tail Amplitude,Wave Speed,Wave Length,Mean curvature
,L(mm),U(mm/s),f(Hz),A_h(mm),A_m(mm),A_t(mm),c(mm/s),/\(mm),k_avg(1/mm)
23,0.9039,0.3188,2.4414,0.2168,0.1413,0.1227,4.5,1.84,4.17
24,0.9077,0.3171,2.4414,0.2199,0.1386,0.1197,4.23,1.73,4.3
25,0.9195,0.3888,2.3193,0.2058,0.1441,0.1465,4.76,2.05,4.3
26,0.9219,0.3679,2.4414,0.2014,0.1419,0.1367,4.72,1.93,4.07
27,0.9938,0.4668,2.4414,0.1767,0.1447,0.1457,4.76,1.95,3.43
28,0.9149,0.366,2.3193,0.1737,0.1585,0.1399,4.4,1.9,4.26
29,0.9211,0.4475,2.4414,0.1921,0.1507,0.1666,4.97,2.04,4.15
30,1.0002,0.4089,2.4414,0.2528,0.1638,0.1465,5.6,2.29,4.1
31,0.9196,0.316,2.2818,0.1432,0.1247,0.1119,3.71,1.63,3.53
32,0.9733,0.3179,2.1973,0.2453,0.1591,0.1493,5.13,2.34,4.19
33,0.9678,0.314,2.4414,0.1985,0.1627,0.1548,4.91,2.01,3.86
34,0.9576,0.3968,2.5635,0.2084,0.1364,0.1278,5.33,2.08,4.02
35,0.9517,0.4907,2.6855,0.2095,0.1642,0.1496,5.68,2.11,4.34
36,1.1493,0.4606,1.9531,0.2396,0.1771,0.2286,4.26,2.18,3.72
37,1.1168,0.3078,1.4648,0.2842,0.1338,0.1827,3.76,2.57,3.61
38,1.17,0.3388,1.5869,0.2609,0.1287,0.1717,3.12,1.97,3.34
